"","month","id","gender","symbol","count","DEG.18","DEG.24","DEG.both"
"437","18","45","M","Clrn3",163,"None","None",FALSE
"438","18","46","F","Clrn3",54,"None","None",FALSE
"439","18","47","F","Clrn3",55,"None","None",FALSE
"440","24","60","M","Clrn3",28,"None","None",FALSE
"441","24","59","M","Clrn3",22,"None","None",FALSE
"442","24","58","M","Clrn3",84,"None","None",FALSE
"443","24","61","M","Clrn3",20,"None","None",FALSE
"444","3","8","M","Clrn3",29,"None","None",FALSE
"445","3","9","M","Clrn3",31,"None","None",FALSE
"446","3","10","M","Clrn3",101,"None","None",FALSE
"447","3","11","M","Clrn3",158,"None","None",FALSE
"448","3","56","F","Clrn3",43,"None","None",FALSE
"449","3","38","F","Clrn3",45,"None","None",FALSE
"450","3","39","F","Clrn3",149,"None","None",FALSE
"451","18","53","M","X2510049J12Rik",83,"None","None",FALSE
"452","18","45","M","X2510049J12Rik",172,"None","None",FALSE
"453","18","46","F","X2510049J12Rik",160,"None","None",FALSE
"454","18","47","F","X2510049J12Rik",152,"None","None",FALSE
"455","24","60","M","X2510049J12Rik",27,"None","None",FALSE
"456","24","59","M","X2510049J12Rik",38,"None","None",FALSE
"457","24","58","M","X2510049J12Rik",70,"None","None",FALSE
"458","24","61","M","X2510049J12Rik",20,"None","None",FALSE
"459","3","8","M","X2510049J12Rik",51,"None","None",FALSE
"460","3","9","M","X2510049J12Rik",84,"None","None",FALSE
"461","3","10","M","X2510049J12Rik",119,"None","None",FALSE
"462","3","11","M","X2510049J12Rik",97,"None","None",FALSE
"463","3","56","F","X2510049J12Rik",83,"None","None",FALSE
"464","3","38","F","X2510049J12Rik",51,"None","None",FALSE
"465","3","39","F","X2510049J12Rik",137,"None","None",FALSE
"466","18","53","M","Cdx2",236,"None","None",FALSE
"467","18","45","M","Cdx2",514,"None","None",FALSE
"468","18","46","F","Cdx2",372,"None","None",FALSE
"469","18","47","F","Cdx2",365,"None","None",FALSE
"470","24","60","M","Cdx2",120,"None","None",FALSE
"471","24","59","M","Cdx2",156,"None","None",FALSE
"472","24","58","M","Cdx2",226,"None","None",FALSE
"473","24","61","M","Cdx2",79,"None","None",FALSE
"474","3","8","M","Cdx2",161,"None","None",FALSE
"475","3","9","M","Cdx2",244,"None","None",FALSE
"476","3","10","M","Cdx2",342,"None","None",FALSE
"477","3","11","M","Cdx2",340,"None","None",FALSE
"478","3","56","F","Cdx2",161,"None","None",FALSE
"479","3","38","F","Cdx2",126,"None","None",FALSE
"480","3","39","F","Cdx2",472,"None","None",FALSE
"481","18","53","M","Spink4",44,"None","None",FALSE
"482","18","45","M","Spink4",247,"None","None",FALSE
"483","18","46","F","Spink4",163,"None","None",FALSE
"484","18","47","F","Spink4",106,"None","None",FALSE
"485","24","60","M","Spink4",73,"None","None",FALSE
"486","24","59","M","Spink4",79,"None","None",FALSE
"487","24","58","M","Spink4",55,"None","None",FALSE
