"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Sh3bgrl2","Sh3bgrl2",519.6735117,608.8007245,419.7634863,603.1581603,243.3758343,317.4157089,446.1827876,242.0507591,356.33716045,469.3439004,398.1677231,210.9809102,645.8411436,267.9134051,629.3553703
"Crb3","Crb3",787.351567,1051.6209072,1044.8621958,762.886793,642.5080281,648.312453,756.863702,424.0648879,625.5557605,774.8379852,630.6973363,462.262568,843.9960763,543.577075,1043.4356257
"Acer1","Acer1",556.4159781,718.5779914,664.9740852,552.6947241,394.6435953,454.823228,543.9566699,273.2566207,486.2182401,573.3702841,386.3127325,311.6828315,753.9556154,436.3553544,701.9761091
"Creb3l4","Creb3l4",41.0496442,46.7618476,28.0903316,53.8258137,30.427274,4.26512,44.8481557,9.3679403,5.922929,11.3731736,19.1377054,6.125573,32.2214572,29.8846066,32.607502
"Hepacam2","Hepacam2",7.5561357,38.1573921,18.3827583,10.6777832,14.26046197,0,35.708233,5.131459,8.1351397,11.7382213,47.0668945,20.7622938,24.6412252,13.26778704,14.2276731
"Slc26a2","Slc26a2",832.2518136,1122.5111958,1034.7707859,1060.6048149,394.9101442,610.5492608,587.2994528,470.5259464,938.9152743,1238.0025912,962.8523199,555.970613,1002.7999924,722.8351242,1407.8709114
"O3far1","O3far1",132.9885981,217.0397986,176.6729388,189.6022377,122.3719318,137.7924816,89.2918899,40.5023467,130.6554978,133.3274065,72.3366507,39.5966007,222.2204181,87.1587303,240.4783363
"Sh2d4a","Sh2d4a",372.7743066,294.754548,254.9083077,412.8154643,229.19242956,290.3519637,264.2969276,175.4500714,217.8747112,349.2871729,203.9172698,126.7360986,434.0088935,246.940909,357.5610325
"Creb3l1","Creb3l1",144.8217919,217.33000417,171.60890204,274.7954427,122.18439428,141.8052135,86.638051,82.0080667,124.8101027,197.545895,145.6567344,61.3194372,155.5050728,131.2966809,172.1608712
"Mal2","Mal2",784.14865965,939.933033,831.2133112,831.0833418,449.1787403,661.7269645,680.675086,409.2483529,718.7258075,747.6572268,689.1782638,418.1719379,883.140755,672.2720045,1030.0571901
"Spire2","Spire2",314.9341875,629.0593763,283.3376083,584.9750423,136.2706561,407.5112674,240.4818941,224.8470863,460.0550648,479.7826579,454.8024499,336.7805628,478.6884981,292.4959085,680.7959706
"Fahd1","Fahd1",715.0701108,779.2820211,897.1919722,665.7566927,509.53978725,522.5324398,558.7723233,319.1323164,381.8306714,493.3551439,453.5909153,238.7247667,697.6944981,474.5650531,785.9068144
"X2210404O07Rik","X2210404O07Rik",1075.7267908,1237.0123963,1397.6756824,999.8546757,996.0888244,957.6533342,932.1033007,599.8371871,905.5639048,1160.0602498,903.182828899999,539.5946843,910.7939715,783.4246607,1302.898723
"Slc26a3","Slc26a3",716.1655968,943.7401199,1113.6800732,989.29274,547.97511223,599.7573478,583.5194502,488.8235307,880.7293032,1153.2923255,885.4073652,497.9686401,964.1491066,477.1924592,1184.5667887
"Nr1i2","Nr1i2",413.0656975,632.942544,508.0184183,673.9995397,244.4315224,377.7243318,276.9417676,283.465193,507.9103548,579.6331951,476.0521958,301.5501597,591.1517197,425.5279646,860.3106618
"Myo5c","Myo5c",208.5294343,323.5170214,361.978118,352.4478941,118.8152734,83.7254777,82.6595012,134.1809614,213.8200124,414.7867053,365.2271439,114.1157251,306.4823861,179.4560412,427.5404879
"Ppfia3","Ppfia3",811.4228618,1194.9149419,1026.2676121,951.1156725,534.853687,652.2731617,629.3900295,459.7922313,778.0587226,831.061182900001,731.6293416,500.9429152,744.415808,638.072047,1203.162586
"Ces1g","Ces1g",683.305943,687.8452586,875.7605074,800.4717872,616.1241468,759.6801828,757.9340099,444.8987006,512.1117653,413.4377887,387.3840802,258.777217,819.9798964,499.4825053,824.8303724
"Nupr1","Nupr1",150.8615907,131.21827664,217.033924,126.2761493,231.323141,68.8139204,204.3642732,87.12224,52.13340407,89.2002028,65.8262042,30.3380538,114.52194879,91.75717864,158.05341684
"Gpx2","Gpx2",586.1244734,393.9402903,629.835069,407.98185,464.5451021,367.1541271,439.693078,239.9357696,200.9537558,244.6041381,161.6985267,83.3036146,281.3243396,222.6635766,296.0908187
"Hook1","Hook1",584.4391652,490.495684,346.3199477,576.1363302,166.73332165,138.8038468,243.9377592,158.6207394,331.4485307,599.8146351,473.6020008,308.5534623,573.7055697,254.0722948,627.303811
"Gstp2","Gstp2",880.3395301,1029.5893438,1177.8043157,867.583133,761.3193161,669.7348837,840.0717077,436.4157736,538.8166191,632.715411,589.4636946,332.731927,732.8589652,682.1202002,906.6626173
"B3gnt3","B3gnt3",664.3380649,862.426451,665.3852333,729.2378674,263.9953649,572.7062526,381.7966651,341.0095441,580.2510387,698.4004319,591.5801146,401.9029837,774.6848298,504.2222594,976.4894093
"Sema4g","Sema4g",408.5401709,659.7612456,734.465898,801.9170512,423.4858624,396.6748406,479.9867748,329.8318441,667.1634965,873.3555248,714.6028526,319.8061752,637.9349512,575.6200428,956.4057174
"Tmem139","Tmem139",603.5067123,1021.9618803,797.8003459,740.8441578,486.3271213,500.3337795,572.064413,348.9438993,507.0565898,578.6437296,554.5678444,435.7717081,750.5053548,377.9975858,986.5967686
"Tnni1","Tnni1",661.2433372,851.6642565,1136.7477771,803.8770973,566.9410064,642.0811387,609.3472795,468.0351614,435.6286821,805.1711713,510.1327902,124.5124791,572.2694802,399.7765758,676.1619795
"Erbb2","Erbb2",453.1517127,811.5554158,675.4052371,866.2553511,470.0674687,452.2444496,530.1904477,375.9409101,745.6216048,931.2143749,749.8997709,536.9230803,749.1250802,512.0314598,1159.6674568
