"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Acnat1","Acnat1",25.2640951,85.1970724,114.4273437,63.1352119,15.4716866,12.595748,24.5652914,4.8876987,23.8760585,27.2162732,101.254855,97.7168385,41.7574422,19.6545037,125.8419598
"Sc4mol","Sc4mol",79.8726337,80.4902629,131.8568523,71.9453837,6.4732575,43.5316999,23.8067165,6.5858717,29.7073833,47.7186146,155.6663021,79.9766995,19.0120972,20.511471,112.2490469
"Mep1b","Mep1b",7.271972,5.1075253,14.0769829,26.8967971,14.27858,0,0,0,10.298377,13.6131621,37.9771011,9.0393027,0,4.139433,11.1174574
"Rars2","Rars2",87.3912261,206.196574,128.6100538,105.7864449,45.8235742,17.26924,66.7605477,85.9292806,40.5835028,80.3612605,225.4371981,84.1763709,102.525417,52.9776006,186.9510253
"Micu1","Micu1",86.8868736,272.3455027,232.1914473,230.609144,82.976502,52.3313414,89.2982597,19.3130511,97.6762996,127.6765821,295.6741034,259.5837104,79.715796,80.2357622,256.2345725
"Rchy1","Rchy1",35.0627836,146.4529601,85.1008442,103.1182753,40.1809931,29.539307,47.1443735,54.6234961,49.1378699,65.5646233,124.4168603,112.7028201,54.2390757,45.9794064,120.8198643
"Fryl","Fryl",107.8684816,350.4977961,308.3730858,279.5308143,82.753448,57.9398087,174.57072815,63.5748256,109.2366618,153.7929703,329.0242362,220.0774111,128.3492386,153.7231857,461.1954675
"X2010110P09Rik","X2010110P09Rik",12.8389154,78.3024345,22.2322743,24.8531118,7.0104127,7.7951493,7.5165434,0,11.069074,41.1583492,31.6144283,18.9350768,0,7.290959,22.5760789
"Sqle","Sqle",100.7175915,98.4668142,163.44906,96.4828107,30.7872091,47.8256622,32.8976556,0,38.2837662,71.234654,156.4011328,123.9492,68.9956324,53.114689,132.516118
"Crls1","Crls1",71.4169979,182.2305934,156.042339,136.3592169,26.083558,29.3593718,60.9512556,50.2542809,67.0624591,87.4276377,178.0689436,158.7670755,59.1395705,56.1047397,200.2739837
"Acsl3","Acsl3",192.2851103,388.3862449,218.0801352,357.3859326,66.2316598,61.0174789,163.9122967,37.5663641,231.1314603,327.8654041,592.0884573,382.1474129,187.5001888,126.5996044,646.0676935
"Fars2","Fars2",38.4064089,151.6889429,90.0070002,91.9721989,22.2856033,23.5440111,55.0720024,34.7230956,63.9744272,89.1508552,143.8429074,83.0843373,48.1697162,36.3998531,135.1775794
