"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"11051","Zfp503",20.0968,33.22088,22.35616,38.95277,12.93004,18.27841,15.33762,9.242341,14.03305,7.09786,13.19956,5.870642,20.90987,26.58337,41.54403
"11052","A330050B17Rik",17.00853,11.05291,16.64273,17.48647,6.805171,8.613583,3.465759,8.424718,7.639924,7.986627,17.72585,5.293103,23.49303,19.87666,31.78187
"11053","P2rx2",19.63642,11.98948,8.210963,8.106171,9.687087,19.94661,15.77643,7.193686,10.82366,16.97758,14.1346,15.92843,16.09782,3.685571,7.9831
"11054","Rgsl1",10.26724,15.6784,11.7354,15.79666,0,7.398268,5.47195,0,15.78534,7.600956,17.14403,10.75947,15.98481,7.86222,20.72735
"11055","Ccna1",16.20727,8.29238,5.12065,14.01398,2.397895,5.30072,13.51073,4.795791,11.95635,20.49753,9.085366,10.3515,11.0763,6.59918,38.5357
"11056","B130034C11Rik",26.451,16.22407,15.07464,19.30335,4.287229,9.260409,11.11311,10.4148,18.51868,16.66662,14.75102,9.020699,18.95901,23.6758,37.91746
"11057","Fgl1",21.31737,21.30149,29.36934,14.64833,5.254701,18.84599,29.02492,11.42917,20.72586,22.42675,7.111621,9.041683,26.92778,18.79445,28.93392
"11058","Gm16432",20.05753,10.25753,13.67798,11.96329,13.74276,15.56168,8.854531,10.27387,6.013177,20.19199,6.273204,3.251959,9.667707,18.68763,12.28372
"11059","Dync2li1",19.23758,12.35017,11.34812,8.489888,8.621377,13.49595,24.52174,19.44224,11.42003,10.22945,16.05048,5.388872,34.97593,25.02898,47.80229
"11060","Fanca",11.798,14.47868,8.324731,15.37001,2.284698,6.439576,6.695899,18.48416,40.12562,23.22095,37.38364,19.02272,12.48209,8.031903,42.04089
"11061","Gm10658",7.081114,7.773685,10.68472,13.62771,0.5569744,8.354874,16.37325,12.30201,17.48862,15.44482,18.71651,4.202504,19.04125,6.762211,36.1557
"11062","Gm4787",11.68518,19.67986,28.14647,5.70606,4.919996,12.06423,10.34541,5.085958,10.01597,7.697037,10.85769,1.141706,34.06783,14.13296,26.69684
"11063","Pkhd1",13.05743,16.46112,13.22871,15.52657,11.41785,19.90325,19.62143,1.543601,9.151275,27.94458,23.78835,11.46243,31.36509,25.78873,30.5946
"11064","Socs5",19.65187,26.43399,17.69772,24.41382,8.967716,25.86899,37.98204,28.198,26.67035,19.95329,20.59924,11.89693,40.95743,26.40864,49.34685
"11065","Crtap",40.67643,38.05052,22.80482,26.48708,20.52882,33.21483,34.65115,37.26777,32.94476,34.10649,25.35587,16.46002,45.00966,41.73808,70.98636
"11066","Zfp808",17.52135,12.13211,9.601262,24.14727,6.093343,12.64827,5.826318,10.28012,13.13964,19.48201,27.2247,5.436334,26.40202,8.331374,38.6905
"11067","Klf2",61.30294,37.26448,41.13307,53.1587,23.34355,43.89847,46.54851,25.21217,49.98893,54.10257,39.82017,23.03829,45.27574,39.63365,51.54229
"11068","Gm14023",17.12593,26.57709,17.8586,14.04187,5.992093,16.4083,33.91638,11.72597,11.60042,11.7806,18.94975,6.910655,22.84245,15.23669,23.46175
"11069","Tmem17",26.22618,9.615625,26.7699,10.688,9.056643,13.98338,28.96004,13.36324,16.31973,11.3343,14.84703,3.96868,28.89357,16.52128,31.87597
"11070","Ccdc159",15.76947,10.82808,3.946538,16.08009,3.058905,8.932106,16.23998,13.43615,14.75883,11.13638,7.228212,5.458098,12.35439,10.10172,22.97275
"11071","Azgp1",11.98517,27.60563,31.52252,22.24359,23.93204,26.05459,24.03283,8.0402,22.47613,32.21088,10.55019,8.338281,21.7091,5.50158,31.92369
"11072","Rasgrf2",12.82992,15.5177,10.26468,20.66657,16.48996,23.88518,24.75931,11.29979,10.99629,8.719894,11.51598,13.56744,29.7756,22.25266,17.98203
"11073","Gsto2",15.80458,28.78321,8.168512,12.52068,2.833325,11.40631,17.50284,12.21015,11.25707,21.24751,18.36485,9.086544,35.21146,16.30857,39.37205
"11074","AA388235",10.86979,20.71295,11.78668,12.61534,4.582654,4.881762,11.31137,8.178009,12.20962,22.69211,34.39998,10.85634,14.85115,14.43356,43.2397
"11075","Rhbdl1",4.930041,41.95915,25.20955,40.57997,8.125318,10.08934,13.64434,12.19608,7.81098,8.758453,5.377573,11.89146,8.307477,7.218959,35.87886
"11076","X9230115E21Rik",15.49082,2.555728,7.97458,12.92048,2.397895,4.795791,15.22617,17.36092,5.797453,7.835821,8.593993,10.87436,14.15986,6.521909,31.08636
"11077","Fev",1.106538,0,2.397895,0,0,0,0,1.64609,0,0,0.3791324,1.961589,0,0.9059671,0
"11078","Ifi47",30.29911,41.42498,23.49568,41.3178,13.12855,47.60326,30.40839,31.3105,32.55412,21.64171,14.09782,12.60325,68.30659,30.13798,71.67386
"11079","Srp54b",17.40932,27.04397,7.610404,24.68883,2.844277,16.16517,16.76695,43.08954,23.41571,29.50522,26.9348,21.74051,24.89321,32.96728,34.29258
"11080","Mark4",15.75147,15.58056,16.56611,24.88545,5.059752,13.04656,23.35135,19.84787,18.19501,32.33482,28.36944,11.70218,26.09915,16.67855,30.07043
"11081","X1700123M08Rik",17.32953,25.74082,16.29098,16.9173,9.265084,17.72063,17.65511,7.440041,16.41417,15.48835,13.58789,4.962812,17.22233,17.10491,30.63962
"11082","Stk10",18.28652,40.20653,22.80903,24.40661,2.33278,14.31361,18.1549,5.378272,37.8945,43.26512,50.83762,40.18961,29.00921,22.55471,55.12678
"11083","Bst2",73.92699,60.33694,81.44259,48.4556,41.36217,44.34581,68.27917,33.04184,27.79761,24.60421,30.11345,19.65869,68.75508,58.47369,64.4478
"11084","Gkap1",21.52657,27.03848,17.99222,27.82105,12.15307,32.73534,29.01809,11.17997,31.7987,26.04564,17.60591,20.04227,29.46702,24.3148,54.90068
"11085","Rfx5",18.65415,26.62835,9.506518,18.85938,3.274183,12.06868,24.82217,25.32365,18.79824,23.13315,21.6537,10.63554,26.27216,18.62581,39.84834
"11086","Atf5",23.69005,28.92899,28.68397,34.98196,29.65787,12.56327,22.6143,15.21671,9.752544,15.2869,17.38416,4.390346,18.53629,15.64932,30.17275
"11087","Fcho1",18.08445,36.00983,11.7793,41.26097,7.59608,24.87007,12.14639,18.28198,13.07644,24.46476,34.02751,13.59699,18.06806,28.30075,43.34127
"11088","Ctsf",22.65398,22.37045,19.56587,19.78363,12.00249,22.63699,41.54646,19.43763,28.69733,27.71636,22.49321,10.13831,61.79177,57.76313,51.43622
"11089","A930019D19Rik",15.3308,9.851528,6.184065,5.587869,4.626013,6.109693,6.969294,4.45691,24.38189,18.87935,26.23623,15.28754,16.49021,9.038186,30.33687
"11090","Zfp251",10.23618,16.59718,13.08625,24.09147,5.572879,7.942883,15.99775,8.531196,14.76823,17.26522,22.30107,24.68178,13.45451,11.60718,52.92751
"11091","X4930430F08Rik",27.97223,25.2875,6.424471,21.06286,1.173283,13.01051,14.65708,14.79403,32.0065,23.77399,20.89836,8.322482,41.17564,14.34715,42.73828
"11092","C130036L24Rik",26.50337,23.43467,14.73864,19.17492,16.94146,9.102423,22.36175,7.717446,14.90272,9.438431,21.2998,10.68732,18.41477,23.61119,40.29522
"11093","Snora78",13.47917,19.42501,24.99082,15.51429,6.303266,0.5345469,26.05044,3.458656,1.979521,12.90317,15.06296,11.04403,14.90343,42.67434,38.93981
